id,trial__id,struck_by,race,gender,defendant_race,strike_eligibility,cause_number,same_race,struck_state,year
7102,137,Struck by the state,Black,Female,White,State,2006-0017,different race,Struck by State,2006
7135,138,Juror chosen to serve on jury,White,Unknown,Black,State,2006-0031,different race,Not struck by State,2006
7139,138,Juror chosen as alternate,White,Unknown,Black,Both State and Defense,2006-0031,different race,Not struck by State,2006
6660,129,Juror chosen to serve on jury,White,Female,Black,State,1994-7076,different race,Not struck by State,1994
6661,129,Juror chosen as alternate,White,Female,Black,State,1994-7076,different race,Not struck by State,1994
7129,138,Juror chosen to serve on jury,White,Unknown,Black,State,2006-0031,different race,Not struck by State,2006
9068,175,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,1998-6305,same race,Not struck by State,1998
7278,141,Struck by the defense,White,Female,Black,Both State and Defense,2009-0007,different race,Not struck by State,2009
7267,141,Struck by the state,Black,Female,Black,State,2009-0007,same race,Struck by State,2009
7268,141,Struck by the defense,White,Male,Black,Both State and Defense,2009-0007,different race,Not struck by State,2009
6948,135,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2003-0071,different race,Not struck by State,2003
7277,141,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2009-0007,different race,Not struck by State,2009
7274,141,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2009-0007,different race,Not struck by State,2009
7272,141,Struck by the state,Black,Female,Black,State,2009-0007,same race,Struck by State,2009
7276,141,Juror chosen to serve on jury,Black,Male,Black,Both State and Defense,2009-0007,same race,Not struck by State,2009
7273,141,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2009-0007,same race,Not struck by State,2009
6949,135,Struck by the state,Black,Male,Black,State,2003-0071,same race,Struck by State,2003
6950,135,Struck by the defense,White,Female,Black,Both State and Defense,2003-0071,different race,Not struck by State,2003
6951,135,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2003-0071,different race,Not struck by State,2003
6952,135,Struck by the state,Black,Male,Black,State,2003-0071,same race,Struck by State,2003
6976,135,Struck by the defense,White,Male,Black,Both State and Defense,2003-0071,different race,Not struck by State,2003
6978,135,Struck by the defense,White,Female,Black,Both State and Defense,2003-0071,different race,Not struck by State,2003
6980,135,Struck by the state,Black,Female,Black,State,2003-0071,same race,Struck by State,2003
6981,135,Struck by the defense,White,Male,Black,Both State and Defense,2003-0071,different race,Not struck by State,2003
6982,135,Juror chosen to serve on jury,White,Female,Black,State,2003-0071,different race,Not struck by State,2003
6984,135,Struck by the state,Black,Female,Black,State,2003-0071,same race,Struck by State,2003
6991,135,Struck by the state,Black,Female,Black,State,2003-0071,same race,Struck by State,2003
7399,143,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2011-0031,same race,Not struck by State,2011
7400,143,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2011-0031,same race,Not struck by State,2011
7402,143,Struck by the defense,White,Female,Black,Both State and Defense,2011-0031,different race,Not struck by State,2011
7404,143,Struck by the state,Black,Female,Black,State,2011-0031,same race,Struck by State,2011
7405,143,Struck by the state,Black,Male,Black,State,2011-0031,same race,Struck by State,2011
7406,143,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2011-0031,same race,Not struck by State,2011
7407,143,Struck by the defense,White,Male,Black,Both State and Defense,2011-0031,different race,Not struck by State,2011
7408,143,Juror chosen to serve on jury,Black,Male,Black,Both State and Defense,2011-0031,same race,Not struck by State,2011
7409,143,Struck by the state,Black,Female,Black,State,2011-0031,same race,Struck by State,2011
7411,143,Struck by the defense,White,Male,Black,Both State and Defense,2011-0031,different race,Not struck by State,2011
7412,143,Struck by the state,White,Female,Black,State,2011-0031,different race,Struck by State,2011
7413,143,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2011-0031,different race,Not struck by State,2011
7414,143,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2011-0031,different race,Not struck by State,2011
7415,143,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2011-0031,different race,Not struck by State,2011
7416,143,Juror chosen to serve on jury,Black,Female,Black,Both State and Defense,2011-0031,same race,Not struck by State,2011
7417,143,Juror chosen to serve on jury,Black,Male,Black,Both State and Defense,2011-0031,same race,Not struck by State,2011
7419,143,Struck by the defense,White,Male,Black,Both State and Defense,2011-0031,different race,Not struck by State,2011
7420,143,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2011-0031,different race,Not struck by State,2011
7421,143,Juror chosen to serve on jury,White,Male,Black,Both State and Defense,2011-0031,different race,Not struck by State,2011
7422,143,Juror chosen to serve on jury,White,Female,Black,Both State and Defense,2011-0031,different race,Not struck by State,2011
7423,143,Struck by the defense,White,Female,Black,Both State and Defense,2011-0031,different race,Not struck by State,2011
7424,143,Juror chosen as alternate,White,Male,Black,State,2011-0031,different race,Not struck by State,2011
7554,145,Juror chosen as alternate,White,Female,Black,Both State and Defense,1995-7171,different race,Not struck by State,1995
